"source_mat_id","sea_surf_temp_method","sea_surf_temp","ph","ph_method","sediment_temp","sediment_temp_method","redox_potential","redox_potential_method","alkalinity","alkalinity_method","ammonium","ammonium_method","bac_prod","bac_prod_method","biomass","biomass_method","chem_administration","chlorophyll","chlorophyll_method","diss_carb_dioxide","diss_carb_dioxide_method","diss_inorg_carb","diss_inorg_carb_method","diss_org_carb","diss_org_carb_method","diss_org_nitro","diss_org_nitro_method","diss_oxygen","diss_oxygen_method","magnesium","magnesium_method","methane","methane_method","n_alkanes","n_alkanes_method","nitrate","nitrate_method","nitrite","nitrite_method","organism_count","organism_count_method","oxy_stat_samp","part_org_carb","part_org_carb_method","part_org_nitro","part_org_nitro_method","particle_class","petroleum_hydrocarb","petroleum_hydrocarb_method","phaeopigments","phaeopigments_method","phosphate","phosphate_method","pigments","pigments_method","porosity","pressure","pressure_method","sea_surf_salinity","sea_surf_salinity_method","silicate","silicate_method","sulfate","sulfate_method","sulfide","sulfide_method","water_current","water_current_method"
"EMOBON_NRMCB_So_210621_micro_1","CTD SBE 19plusV2",25.0495,"NA","NA",15,"CTD SBE 19plusV2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.5523,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.5864,"CTD SBE 19plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_210621_micro_2","CTD SBE 19plusV2",25.0495,"NA","NA",15,"CTD SBE 19plusV2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.5523,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.5864,"CTD SBE 19plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_210621_micro_3","CTD SBE 19plusV2",25.0495,"NA","NA",15,"CTD SBE 19plusV2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.5523,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.5864,"CTD SBE 19plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_210621_micro_4","CTD SBE 19plusV2",25.0495,"NA","NA",15,"CTD SBE 19plusV2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.5523,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.5864,"CTD SBE 19plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_210821_micro_blank","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_210831_micro_1","CTD SBE911plusV2",26.8119,"NA","NA",14.9343,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.7075,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.6438,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.9887,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_210831_micro_2","CTD SBE911plusV2",26.8119,"NA","NA",14.9343,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.7075,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.6438,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.9887,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_210831_micro_3","CTD SBE911plusV2",26.8119,"NA","NA",14.9343,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.7075,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.6438,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.9887,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_210831_micro_4","CTD SBE911plusV2",26.8119,"NA","NA",14.9343,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.7075,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.6438,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.9887,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_210831_micro_blank","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_211026_micro_1","CTD SBE911plusV2",20.7006,7.4,"Oxyguard probe",17.1384,"CTD SBE911plusV2",-151,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.5224,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.4421,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",38.1868,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_211026_micro_2","CTD SBE911plusV2",20.7006,7.4,"Oxyguard probe",17.1384,"CTD SBE911plusV2",-151,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.5224,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.4421,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",38.1868,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_211026_micro_3","CTD SBE911plusV2",20.7006,7.4,"Oxyguard probe",17.1384,"CTD SBE911plusV2",-151,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.5224,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.4421,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",38.1868,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_211026_micro_4","CTD SBE911plusV2",20.7006,7.4,"Oxyguard probe",17.1384,"CTD SBE911plusV2",-151,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.5224,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.4421,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",38.1868,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_211026_micro_blank","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_211221_micro_1","CTD SBE911plusV2",16.7116,7.5,"Oxyguard probe",16.6418,"CTD SBE911plusV2",-142.5,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.9882,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.6654,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.9033,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_211221_micro_2","CTD SBE911plusV2",16.7116,7.5,"Oxyguard probe",16.6418,"CTD SBE911plusV2",-142.5,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.9882,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.6654,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.9033,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_211221_micro_3","CTD SBE911plusV2",16.7116,7.5,"Oxyguard probe",16.6418,"CTD SBE911plusV2",-142.5,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.9882,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.6654,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.9033,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_211221_micro_4","CTD SBE911plusV2",16.7116,7.5,"Oxyguard probe",16.6418,"CTD SBE911plusV2",-142.5,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.9882,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.6654,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.9033,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_211221_micro_blank","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_220311_micro_1","CTD SBE911plusV2",13.9166,7.46,"Oxyguard probe",13.978,"CTD SBE911plusV2",-108.5,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.4653,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.5747,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",38.0925,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_220311_micro_2","CTD SBE911plusV2",13.9166,7.46,"Oxyguard probe",13.978,"CTD SBE911plusV2",-108.5,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.4653,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.5747,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",38.0925,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_220311_micro_3","CTD SBE911plusV2",13.9166,7.46,"Oxyguard probe",13.978,"CTD SBE911plusV2",-108.5,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.4653,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.5747,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",38.0925,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_220311_micro_4","CTD SBE911plusV2",13.9166,7.46,"Oxyguard probe",13.978,"CTD SBE911plusV2",-108.5,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.4653,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.5747,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",38.0925,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_220311_micro_blank","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_220427_micro_1","CTD SBE911plusV2",16,7.48,"Oxyguard probe",14.4393,"CTD SBE911plusV2",-137,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.3768,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.5417,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.8954,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_220427_micro_2","CTD SBE911plusV2",16,7.48,"Oxyguard probe",14.4393,"CTD SBE911plusV2",-137,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.3768,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.5417,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.8954,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_220427_micro_3","CTD SBE911plusV2",16,7.48,"Oxyguard probe",14.4393,"CTD SBE911plusV2",-137,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.3768,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.5417,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.8954,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_220427_micro_4","CTD SBE911plusV2",16,7.48,"Oxyguard probe",14.4393,"CTD SBE911plusV2",-137,"Oxyguard probe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.3768,"SBE43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.5417,"this is not pigments but fluorescense. chl Turner Design Cyclops 7C)","NA","NA","NA",37.8954,"CTD SBE911plusV2","NA","NA","NA","NA","NA","NA","NA","NA"
"EMOBON_NRMCB_So_220427_micro_blank","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
