source_mat_id,sea_surf_temp_method,sea_surf_temp,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,water_current,water_current_method
EMOBON_RFormosa_So_210805_micro_1,Thermo scientific  orion star A221,26.3,7.9,Thermo scientific  orion star A221,24,Thermo scientific  orion star A221,-101.7,Thermo scientific  orion star A221,,,,,,,,,,21.69,Fluorometer 10-AU,,,,,,,,,272,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_210805_micro_2,Thermo scientific  orion star A221,26.3,7.9,Thermo scientific  orion star A221,24,Thermo scientific  orion star A221,-101.7,Thermo scientific  orion star A221,,,,,,,,,,21.69,Fluorometer 10-AU,,,,,,,,,272,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_210805_micro_3,Thermo scientific  orion star A221,26.3,7.9,Thermo scientific  orion star A221,24,Thermo scientific  orion star A221,-101.7,Thermo scientific  orion star A221,,,,,,,,,,21.69,Fluorometer 10-AU,,,,,,,,,272,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_210805_micro_4,Thermo scientific  orion star A221,26.3,7.9,Thermo scientific  orion star A221,24,Thermo scientific  orion star A221,-101.7,Thermo scientific  orion star A221,,,,,,,,,,21.69,Fluorometer 10-AU,,,,,,,,,272,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_210805_micro_blank,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,
EMOBON_RFormosa_So_211022_micro_1,Thermo scientific  orion star A221,19.3,8,Thermo scientific  orion star A221,20,Thermo scientific  orion star A221,-88,Thermo scientific  orion star A221,,,,,,,,,,8.8688,Fluorometer 10-AU,,,,,,,,,219,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00528,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_211022_micro_2,Thermo scientific  orion star A221,19.3,8,Thermo scientific  orion star A221,20,Thermo scientific  orion star A221,-88,Thermo scientific  orion star A221,,,,,,,,,,8.8688,Fluorometer 10-AU,,,,,,,,,219,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00528,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_211022_micro_3,Thermo scientific  orion star A221,19.3,8,Thermo scientific  orion star A221,20,Thermo scientific  orion star A221,-88,Thermo scientific  orion star A221,,,,,,,,,,8.8688,Fluorometer 10-AU,,,,,,,,,219,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00528,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_211022_micro_4,Thermo scientific  orion star A221,19.3,8,Thermo scientific  orion star A221,20,Thermo scientific  orion star A221,-88,Thermo scientific  orion star A221,,,,,,,,,,8.8688,Fluorometer 10-AU,,,,,,,,,219,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00528,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_211022_micro_blank,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,
EMOBON_RFormosa_So_211220_micro_1,Thermo scientific  orion star A221,15,7.73,Thermo scientific  orion star A221,17.1,Thermo scientific  orion star A221,-70,Thermo scientific  orion star A221,,,,,,,,,,3.98132,Fluorometer 10-AU,,,,,,,,,256,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_211220_micro_2,Thermo scientific  orion star A221,15,7.73,Thermo scientific  orion star A221,17.1,Thermo scientific  orion star A221,-70,Thermo scientific  orion star A221,,,,,,,,,,3.98132,Fluorometer 10-AU,,,,,,,,,256,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_211220_micro_3,Thermo scientific  orion star A221,15,7.73,Thermo scientific  orion star A221,17.1,Thermo scientific  orion star A221,-70,Thermo scientific  orion star A221,,,,,,,,,,3.98132,Fluorometer 10-AU,,,,,,,,,256,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_211220_micro_4,Thermo scientific  orion star A221,15,7.73,Thermo scientific  orion star A221,17.1,Thermo scientific  orion star A221,-70,Thermo scientific  orion star A221,,,,,,,,,,3.98132,Fluorometer 10-AU,,,,,,,,,256,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_211220_micro_blank,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,
EMOBON_RFormosa_So_220224_micro_1,Thermo scientific  orion star A221,17.3,7.8,Thermo scientific  orion star A221,17.1,Hanna checkTemp thermometer,-74,Thermo scientific  orion star A221,,,,,,,,,,2.53,Fluorometer 10-AU,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220224_micro_2,Thermo scientific  orion star A221,17.3,7.8,Thermo scientific  orion star A221,17.1,Hanna checkTemp thermometer,-74,Thermo scientific  orion star A221,,,,,,,,,,2.53,Fluorometer 10-AU,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220224_micro_3,Thermo scientific  orion star A221,17.3,7.8,Thermo scientific  orion star A221,17.1,Hanna checkTemp thermometer,-74,Thermo scientific  orion star A221,,,,,,,,,,2.53,Fluorometer 10-AU,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220224_micro_4,Thermo scientific  orion star A221,17.3,7.8,Thermo scientific  orion star A221,17.1,Hanna checkTemp thermometer,-74,Thermo scientific  orion star A221,,,,,,,,,,2.53,Fluorometer 10-AU,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220224_micro_blank,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,
EMOBON_RFormosa_So_220428_micro_1,Thermo scientific  orion star A221,17.8,7.76,Thermo scientific  orion star A221,16.7,Hanna checkTemp thermometer,-71,Thermo scientific  orion star A221,,,,,,,,,,7.17216,Fluorometer 10-AU,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220428_micro_2,Thermo scientific  orion star A221,17.8,7.76,Thermo scientific  orion star A221,16.7,Hanna checkTemp thermometer,-71,Thermo scientific  orion star A221,,,,,,,,,,7.17216,Fluorometer 10-AU,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220428_micro_3,Thermo scientific  orion star A221,17.8,7.76,Thermo scientific  orion star A221,16.7,Hanna checkTemp thermometer,-71,Thermo scientific  orion star A221,,,,,,,,,,7.17216,Fluorometer 10-AU,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220428_micro_4,Thermo scientific  orion star A221,17.8,7.76,Thermo scientific  orion star A221,16.7,Hanna checkTemp thermometer,-71,Thermo scientific  orion star A221,,,,,,,,,,7.17216,Fluorometer 10-AU,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220428_micro_blank,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,
EMOBON_RFormosa_So_220629_micro_1,Thermo scientific  orion star A221,21.7,NA,Thermo scientific  orion star A221,20.4,Hanna checkTemp thermometer,NA,Thermo scientific  orion star A221,,,,,,,,,,8.3868,Fluorometer 10-AU,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220629_micro_2,Thermo scientific  orion star A221,21.7,NA,Thermo scientific  orion star A221,20.4,Hanna checkTemp thermometer,NA,Thermo scientific  orion star A221,,,,,,,,,,8.3868,Fluorometer 10-AU,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220629_micro_3,Thermo scientific  orion star A221,21.7,NA,Thermo scientific  orion star A221,20.4,Hanna checkTemp thermometer,NA,Thermo scientific  orion star A221,,,,,,,,,,8.3868,Fluorometer 10-AU,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220629_micro_4,Thermo scientific  orion star A221,21.7,NA,Thermo scientific  orion star A221,20.4,Hanna checkTemp thermometer,NA,Thermo scientific  orion star A221,,,,,,,,,,8.3868,Fluorometer 10-AU,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220629_micro_blank,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,
EMOBON_RFormosa_So_220909_micro_1,Thermo scientific  orion star A221,25,7.974,Thermo scientific  orion star A221,25,Thermo scientific  orion star A221,-80,Thermo scientific  orion star A221,,,,,,,,,,8.32896,Fluorometer 10-AU,,,,,,,,,275,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00488527,YSI ProSolo Digital,37.71,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220909_micro_2,Thermo scientific  orion star A221,25,7.974,Thermo scientific  orion star A221,25,Thermo scientific  orion star A221,-80,Thermo scientific  orion star A221,,,,,,,,,,8.32896,Fluorometer 10-AU,,,,,,,,,275,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00488527,YSI ProSolo Digital,37.71,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220909_micro_3,Thermo scientific  orion star A221,25,7.974,Thermo scientific  orion star A221,25,Thermo scientific  orion star A221,-80,Thermo scientific  orion star A221,,,,,,,,,,8.32896,Fluorometer 10-AU,,,,,,,,,275,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00488527,YSI ProSolo Digital,37.71,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220909_micro_4,Thermo scientific  orion star A221,25,7.974,Thermo scientific  orion star A221,25,Thermo scientific  orion star A221,-80,Thermo scientific  orion star A221,,,,,,,,,,8.32896,Fluorometer 10-AU,,,,,,,,,275,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00488527,YSI ProSolo Digital,37.71,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_220909_micro_blank,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,
EMOBON_RFormosa_So_221021_micro_1,Thermo scientific  orion star A221,20.5,7.864,Thermo scientific  orion star A221,20.5,Thermo scientific  orion star A221,-71,Thermo scientific  orion star A221,,,,,,,,,,NA,Fluorometer 10-AU,,,,,,,,,156,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.003108809,YSI ProSolo Digital,34.85,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_221021_micro_2,Thermo scientific  orion star A221,20.5,7.864,Thermo scientific  orion star A221,20.5,Thermo scientific  orion star A221,-71,Thermo scientific  orion star A221,,,,,,,,,,NA,Fluorometer 10-AU,,,,,,,,,156,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.003108809,YSI ProSolo Digital,34.85,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_221021_micro_3,Thermo scientific  orion star A221,20.5,7.864,Thermo scientific  orion star A221,20.5,Thermo scientific  orion star A221,-71,Thermo scientific  orion star A221,,,,,,,,,,NA,Fluorometer 10-AU,,,,,,,,,156,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.003108809,YSI ProSolo Digital,34.85,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_221021_micro_4,Thermo scientific  orion star A221,20.5,7.864,Thermo scientific  orion star A221,20.5,Thermo scientific  orion star A221,-71,Thermo scientific  orion star A221,,,,,,,,,,NA,Fluorometer 10-AU,,,,,,,,,156,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.003108809,YSI ProSolo Digital,34.85,YSI ProSolo Digital,,,,,,,,
EMOBON_RFormosa_So_221021_micro_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,
